NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT04885491,"A Study to Evaluate the Efficacy, Safety and Tolerability of PDNO Infusion in COVID-19 Patients With Acute Pulmonary Hypertension",https://clinicaltrials.gov/study/NCT04885491,,WITHDRAWN,"This is an open-label, multicentre study evaluating the effect, safety and tolerability of the two regioisomers 1-(nitrosooxy)propan-2-ol and 2-(nitrosooxy)propan-1-ol (PDNO) infusion given to COVID-19 patients with acute pulmonary hypertension (aPH) and/or acute cor pulmonale (ACP).",NO,Pulmonary Hypertension|COVID-19,DRUG: Sodium chloride (placebo)|DRUG: PDNO,"Change in MPAP and calculated PVR measured with PAC, at target dose after up-titration and 10 minutes after steady state., Mean pulmonary arterial pressure (MPAP) and pulmonary vascular resistance (PVR), as measured with a pulmonary artery catheter (PAC)., During 24 hours","Safety and tolerability of PDNO in patients with COVID-19, as measured by incidence of treatment-emergent AEs, SAEs, and AESI., * Treatment-emergent adverse events (AEs)* Treatment-emergent serious AEs (SAEs)* Treatment-emergent AEs of special interest (AESI), Through study completion (i.e., Day 30)|Safety and tolerability of PDNO in patients with COVID-19, as measured by incidence of treatment-emergent changes in vital signs, ECG abnormalities, and laboratory abnormalities., * Treatment-emergent changes in vital signs (blood pressure, pulse, oxygen saturation, respiratory frequency, body temperature)* Treatment-emergent electrocardiogram (ECG) abnormalities* Treatment-emergent laboratory abnormalities, From baseline until Day 7|Number of participants with the following clinical outcome (dead, intubated at the intensive care unit [ICU], non-intubated at the ICU, discharged from ICU to other hospital care or discharged to home)., At Days 7, 14, 21, and 30.|Time to obtain first negative upper respiratory tract sample in the SARS-CoV-2-rt-PCR assay, From Day 1 to Day 14|Change in troponin I/T and BNP/NT-proBNP, From end of PDNO infusion to Day 7.|Change in the ratio PVR/SVR, Pulmonary vascular resistance (PVR) and systemic vascular resistance (SVR) will be calculated from the obtained values according to the following formulas:PVR= (mean pulmonary arterial pressure \[MPAP\] - pulmonary capillary wedge pressure \[PCWP\])/cardiac output (CO) SVR= (mean arterial pressure \[MAP\] - central venous pressure \[CVP\])/CORatio of PVR to SVR = PVR/SVR, During 24 hours","Levels of SARS-CoV-2 virus in plasma and sputum/tracheal secretion, From Day 1 to Day 2|Collection of plasma for future analysis of biomarkers such as nitrite and nitrate in plasma (µM), From Day 1 to Day 7",Attgeno AB,Vinnova,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,0,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-PDNO-002,2021-05-07,2023-04-30,2023-04-30,2021-05-13,,2023-08-01,"Danderyd Hospital, Danderyd, 182 88, Sweden|Örebro University Hospital, Örebro, 701 85, Sweden",
NCT05729191,Evaluation of the Acceptance of the Anti-COVID-19 Vaccine Offer Among Pregnant Women,https://clinicaltrials.gov/study/NCT05729191,,COMPLETED,"The SARS-CoV-2 pandemic still represents a global health, social and economic emergency. In Italy, since the beginning of the pandemic, a total of 4,709,753 cases and 131,461 deaths have been recorded.The vaccination campaign against COVID-19, launched on 27 December 2020, has made it possible in Italy to achieve complete vaccination coverage (two doses) of 80.6% of the population aged \> 12 years. The latest data on the impact of vaccination in preventing new infections, hospitalizations and deaths report a strong reduction in the risk of SARS-CoV-2 infection in fully vaccinated people compared to unvaccinated people (78% for diagnosis, 92% for hospitalization, 95% for ICU admissions and 94% for deaths); most of the cases notified in the last 30 days in Italy have been diagnosed in unvaccinated people2.Evidence on the immunogenicity and safety of anti-SARS-CoV-2 vaccination in pregnant women, although not deriving from clinical trials, is growing, even if not yet conclusive. On the efficacy of mRNA vaccines in pregnancy, a retrospective Israeli cohort study reported a significantly lower risk of contracting SARS-CoV-2 infection compared to unvaccinated women. Furthermore, a greater maternal and perinatal morbidity from COVID-19, also associated with the circulation of the Delta variant, has been highlighted by the recent analyzes of the English data, updated to 11 July 2021.The Istituto Superiore di Sanità, in the light of the growing evidence on the safety of vaccination during pregnancy for both the fetus and the mother, the new evidence relating to the greater morbidity associated with the Delta variant, the growing circulation of the same variant and the significant lowering of median age at infection in Italy, recommends extending the vaccine offer, with mRNA vaccines, to all pregnant women in the second and third trimester.Objectives of the study: Evaluate the quality in terms of reception of the anti-COVID-19 vaccine offer, the knowledge and attitudes towards the aforementioned vaccination by pregnant women who join the Vaccination Open Day and who access the FPG Covid Vaccination Center for this vaccination.Primary endpoint: Measuring acceptance of the anti-COVID-19 vaccine offer and knowledge about vaccination, by means of a questionnaire to be administered after vaccination.",NO,Pregnant Women|COVID 19 Vaccine|Vaccination Hesitancy,BIOLOGICAL: Anti Covid 19 vaccination campaign for pregnat women,"Compliance and knowledge, Measure the acceptance of the anti-COVID-19 vaccine offer and knowledge about vaccination, by means of a questionnaire to be administered after vaccination., 2021-2022",,,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,FEMALE,ADULT,,100,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,4557,2021-10-25,2022-03-30,2022-03-30,2023-02-15,,2023-02-16,"Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, 00168, Italy",
NCT04932876,The Response of the Immune System of Patients With End Stage Kidney Disease on Dialysis and Kidney Transplant Recipients Vaccinated for COVID-19,https://clinicaltrials.gov/study/NCT04932876,,UNKNOWN,"Observational study of patients with End Stage Kidney Disease on dialysis and Kidney Transplant Recipients, before and after vaccination for SARS-COV 2, after written consent, with the aim of laboratory efficacy of the vaccine and safety regarding the clinical outcome of patients and possible complications.",NO,End Stage Kidney Disease|Kidney Transplantion|Covid19|Vaccination,BIOLOGICAL: SARS - COV 2 VACCINE,"Efficacy of the vaccine, Humoral immune response to the vaccine as evaluated by generation of SARS-CoV-2 IgG II antibodies at two time points (before the second dose of the BNT162b2 vaccine and two weeks following the second dose of the BNT162b2 vaccine). Secondly, lympocyte subsets will be measured by flow cytometry (Naive and memeory T cells - CD45RO+, CD45 RA+, CD4+RO+, CD4+CDRA+, CD4+, CD8+, CD19+, NKT cells) at the two respective time points so as to assess alterations induced by vaccination. Serologic response will be estimated by measurement of anti SARS-CoV-2-spike IgGII titer (AU/ml) in the serum (using the ARCHITECT IgG II Quant test (Abbott); titers \>50 arbitrary units (AU)/ml are considered positive (detection range, 6.8-80,000 AU/ml); positive agreement, 99.4%; negative agreement, 99.6%)., 24 months","Complications caused by the vaccine, Potential side effects associated with the vaccine shall be recorded. Percentages of lymphocytes subsets (as depicted before) in peripheral blood will be measured by flow cytometry. We will compare changes from baseline in the percentages of the lymphocytes subsets following the first and second dose of vaccination between the hemodialysis and kidney transplant recipeints group. In addition we will search for associations between percentages of lymphocytes subsets at diggerent measurement time points and antibody reponse., 24 months",,University of Ioannina,,ALL,"ADULT, OLDER_ADULT",,100,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,RESCOMUOI82152,2021-04-24,2021-12,2023-03,2021-06-21,,2021-09-29,"Evangelia Ntounousi, Ioannina, Epirus, 45110, Greece",
NCT04481360,Evaluation of Clinical Characteristics and Outcome of COVID19 Pneumonia in Assiut University Hospital,https://clinicaltrials.gov/study/NCT04481360,,UNKNOWN,* Evaluation of the clinical presentation of COVID 19 pneumonia.* Identification the risk factors of severing COVID 19 pneumonia.* Evaluation of the outcome of the disease.,NO,Coronavirus,DEVICE: CT of the chest,"Clinical evaluation, Patients assessment using CURB 65\|(confusion ,urea level, respiratory rate blood pressure,age above 65 years) score 0 or 1 out patient -2 inpatient observation- 3 or more ICU admission., through study completion, an average of 1 year",,,Assiut University,,ALL,"ADULT, OLDER_ADULT",,100,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,Presentation of COVID19 in AUH,2020-08,2021-08,2021-09,2020-07-22,,2020-07-22,,
NCT04494776,SARS-COV-2 Infection in Kidney Transplant Recipients: a Brazilian Multicenter Study,https://clinicaltrials.gov/study/NCT04494776,,RECRUITING,"COVID-19 is the pandemic disease caused by the SARS-CoV-2 coronavirus. It is a highly contagious viral disease, the condition of which main clinical symptoms are characterized by fever and respiratory symptoms. Evidence indicates to worse outcomes in patients with pre-existing diseases, such as diabetes, arterial hypertension, heart disease, pneumopathies, chronic kidney disease, and immunodeficiencies. Recipients of kidney transplants make prolonged use of immunosuppressive drugs to inhibit the acquired immune response, notably the activity of lymphocytes. Due to this potential to modulate the immune and inflammatory response, it is speculated that the clinical and laboratory condition of COVID-19 in these patients is atypical. Preliminary evidence suggests worse outcomes of COVID-19 in immunosuppressed patients, as carriers of cancer. However, information on kidney transplant recipients is insufficient. So far, only reports of the case are available in the literature with different clinical presentations and outcomes. The aim of this study is, therefore, to characterize the demographics, clinical and laboratory conditions, and the outcomes of COVID-19 in kidney transplant recipients in a national multicenter cohort.",NO,SARS-CoV-2 Infection|Kidney Transplant Infection,,"Death, Death within 3 months after infection (Yes/No)., Up to 3 months after resolution|Graft loss, Graft loss up to 3 months after infection (Yes/No)., Up to 3 months after resolution","Hospitalization, Composite outcomes: Mechanical ventilation (Yes/No); Need for dialysis (Yes/No); Need for ICU admission during evolution (Yes/No)., Until discharge date, an average of 1 month",,Helio Tedesco Silva Junior,Hospital do Rim e Hipertensão,ALL,"CHILD, ADULT, OLDER_ADULT",,500,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,30631820.0.1001.8098,2020-05-21,2022-12-03,2025-04-02,2020-07-31,,2024-11-08,"Hospital do Rim, São Paulo, Aão Paulo, 04038-002, Brazil",
NCT05331976,A Clinical Evaluation of Proof Diagnostics Test System Including the Proof Diagnostics Reader and COVID-19 Test,https://clinicaltrials.gov/study/NCT05331976,,COMPLETED,"To determine the accuracy of Proof Diagnostics COVID-19 Test in the intended, symptomatic and suspected/at-risk asymptomatic population and point-of-care use as compared to a standard molecular comparator, Quidel Lyra SARS-CoV-2 Assay for diagnosing SARS-CoV-2 infection.",NO,COVID-19|Asymptomatic COVID-19,DIAGNOSTIC_TEST: Proof Lab Test System,"Positive and Negative Percent Agreement, The primary outcome measure will be positive and negative percent agreement (PPA and NPA) of the candidate device in a point-of-care setting to the authorized molecular comparator., Two weeks","Ratio of Positive Predictive Value to Negative Predictive Value, Determine the likelihood ratio of positive predictive value to likelihood ratio negative predictive value, standard positive predictive value, and standard negative predictive value. Additionally, discrepant test results found between the Proof Test and the Quidel Comparator Test will be analyzed via an independent EUA approved test for final adjudication., Two Weeks",,Proof Diagnostics,ICON Clinical Research|MRI Global|ASCLEPES Research Center|Eastside Research Associates|PMG Research of Piedmont Healthcare,ALL,"CHILD, ADULT, OLDER_ADULT",,276,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,PDx-2233-01,2022-02-09,2022-03-21,2022-03-21,2022-04-18,,2022-04-25,"Asclepes Research Center, Spring Hill, Florida, 34609, United States|PMG Research of Piedmont Healthcare, Statesville, North Carolina, 28625, United States|Eastside Research Associates, Redmond, Washington, 98052, United States",
NCT04386460,Covid-19 and Prevention of Malnutrition After Confinement by Dentists,https://clinicaltrials.gov/study/NCT04386460,,COMPLETED,"Background. The Covid-19 pandemic reached France in January 2020 and the French government decreed the confinement of the population for eight weeks, from March 17 to May 10, 2020. Dental surgeries were closed and only dental emergency services were provided. Dental surgeries reopened on May 11th, with a limited focus on urgent care, by applying new occupational hygiene standards to limit the circulation of SARS-Cov-2 coronavirus. Hypothesis. From May 11th, chronic patients and elderly patients who come to the hospital for dental consultations will have two risks of malnutrition:",NO,Nutrition Poor|Infection Viral|Oral Disease,,"Body Mass Index, Body Mass Index evolution from baseline, 1 Month|Body Mass Index, Body Mass Index evolution from baseline, 3 Months","Weight changes during confinement, Usual weight at baseline vs weight before confinement (gk), 8 weeks|prescription of nutritional supplements and observance, number and type of nutritional supplements from baseline, 3 months",,Centre Hospitalier Universitaire de Nice,,ALL,"ADULT, OLDER_ADULT",,17,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,20odontocovid-02,2020-05-11,2020-06-05,2021-05-11,2020-05-13,,2025-02-17,"University Nice Hospital, Nice, 06000, France",
NCT04726176,COVID-19 and the Brain,https://clinicaltrials.gov/study/NCT04726176,,COMPLETED,"The main objective of this project is:1. To assess the impact of COVID-19 on the brain and executive functioning.Twenty adult subjects of UZ Brussels (volunteers), who needed intensive care due to COVID-19 (n=10) or exhibited mild symptoms due to COVID-19 (n=10), will be recruited after hospital discharge. After signing an informed consent the subjects will undergo brain scans (T1, DTI, SWI, DWI, FLAIR MRI and rsfMRI), an emotion regulation task and a neurocognitive test battery. The latter test battery will be performed using an iPad and will test different neurocognitive functions such as memory, abstract thinking, spatial orientation and attention. The duration of the test battery is 18min. The total duration of one trial is estimated at one hour and a half. All tests are planned at the department of Radiology-Magnetic Resonance (UZ Brussel). After three months patients will visit the department of Radiology-Magnetic Resonance a second time for the same experimental trial. Additionally, a matched control group (n = 20; non covid or ICU patients) will be included and undergo the same tests in order to compare the results of the brain scans, emotional regulation task and neurocognitive test battery with results of both Covid-groups. Next to objective data, questionnaires will be filled out, i.e. visual analogue scales of mental and physical fatigue, Profile of Mood States and some additional return to work questions.",NO,Covid19|Brain|Neurocognition|fMRI,BIOLOGICAL: Exposure to COVID-19,"Brain scans, T1, FLAIR MRI, SWI, DWI, DTI, rsfMRI and a task-based functional MRI, Up to 12 weeks|Neurocognitive test battery, The computerized cognitive test battery ""Cognition"" will be conducted using an iPad. This cognitive test battery is sensitive to multiple domains at high-level cognitive performance. It consists of the motor praxis test (measure of sensorimotor speed), visual object learning test (measure of spatial learning and memory), abstract matching (measure of abstraction), line orientation test (measure of spatial orientation), digit symbol substitution test (measure of complex scanning and visual tracking), balloon analogue risk test (measure of risk decision making), NBACK (measure of working memory) and psychomotor vigilance test (measure, or vigilant attention) and takes approximately 18 min in total., Up to 12 weeks","Emotion regulation task, During the last brain scan, i.e. the task-based functional fMRI, a short emotion regulation task will be employed. Twenty negatively rated stimuli from the International Affective Picture System balanced on arousal (exciting/calm) will be randomly allocated to one of two blocks, one block per condition (experiential awareness, i.e. switching attention towards the bodily felt affective experience / cognitive reappraisal i.e. cognitively changing how one appraises the situation represented on the negative pictures)., Up to 12 weeks|Mental fatigue Visual Analogue Scale (M-VAS), Subjective measure of mental fatigue (0-10cm; 0 = no mental fatigue; 10 = maximal mental fatigue), Up to 12 weeks|Physical fatigue Visual Analogue Scale (P-VAS), Subjective measure of physical fatigue (0-10cm; 0 = no mental fatigue; 10 = maximal mental fatigue), Up to 12 weeks|Return to work questionnaire, Questionnaire encompassing the following questions:1. When did you restart work duties after hospital discharge?2. Did you consider yourself fit to return to work?3. What is your general experience of restart working?4. Have you been equally as productive, less productive, or more productive than before the COVID-19 infection/since the former consultation?, Up to 12 weeks|Profile of Mood States (POMS), The Profile of Mood States (POMS) is a 65 item self-report psychological instrument. The POMS measures six different dimensions of mood states over a period of time. These include: Tension or Anxiety, Anger or Hostility, Vigor or Activity, Fatigue or Inertia, Depression or Dejection, Confusion or Bewilderment. These 65 items are rated on a five-point scale ranging from ""not at all"" to ""extremely""., Up to 12 weeks",,Vrije Universiteit Brussel,Universitair Ziekenhuis Brussel,ALL,"ADULT, OLDER_ADULT",,40,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,1432020000338,2021-01-30,2021-12-01,2021-12-01,2021-01-27,,2022-04-29,"Vrije Universiteit Brussel, Brussels, 1050, Belgium",
NCT06911476,From Inflammation to Remodelling Towards Personalized Diagnosis in Post-acute Sequelae of COVID-19,https://clinicaltrials.gov/study/NCT06911476,LIBERATE,NOT_YET_RECRUITING,"Rationale: The diagnosis and pathogenesis of long COVID remains unknown. We have previously shown that \[68Ga\]FAPI Positron Emission Tomography-Computed Tomography (PET/CT) imaging shows potential for diagnosis and molecular understanding of this syndrome. We have previously shown that fibroblast activation protein (FAP) can be imaged in the lung, muscle and nasopharynx of long COVID patients (with dyspnea and fatigue). However, these preliminary data are derived from a selective group of patients with long COVID after critical COVID-19. We aim to explore the generalizability of these findings in patients with long COVID with dyspnea and fatigue, irrespective of the severity of their acute SARS-CoV-2 infection.Primary objective: To assess if pulmonary fibroblast activity, measured by \[68Ga\]FAPI-46 PET/CT, is higher in patients with current long COVID dyspnea and fatigue compared to patients with resolved complaints.Study design: This is a ZonMw funded single centre prospective observational cohort study of long COVID-19 patients with dyspnea and fatigue.Study population: We will recruit 60 adult long COVID patients (aged \>20 years) of which 30 have complaints of dyspnea and fatigue and compare them to 30 patients with resolved complaints and healthy controls.Main study parameters/endpoints: The primary endpoint is FAP expression in the lung measured by \[68Ga\]FAPI-46 PET/CT. Secondary endpoints are the expression of FAP in other tissues (muscle) and the relation between FAP and inflammation and remodelling biomarkers in various biological samples (e.g. serum/nasal epithelium).Study procedures: In a single visit day the following data and samples will be collected: questionnaires, a lung function test, 6-minute walking test, blood samples, nose swabs, \[68Ga\]FAPI PET/CT scan and HRCT scan. When increased \[68Ga\]FAPI uptake is measured in the muscles a muscle biopsy will be performed as well.",NO,PASC Post Acute Sequelae of COVID 19|Long COVID|Long Covid-19|PASC|FAPI|FAP|Fibroblast Activation Protein Inhibitor|Fibroblast|Restrictive Lung Disease,,"Pulmonary FAP expression, To compare pulmonary FAP expression between patients with persistent PASC and patients recovered from PASC. Pulmonary FAP expression will be measured via the pulmonary FAPI uptake on the \[68Ga\]FAPI-46 PET/CT scan. Uptake is measured as whole lung SULmean (standardized uptake value corrected for lean body mass) corrected for the background signal (bloodpool). Resulting in the target-to-background ratio (TBR) of the whole lung., Day 1","Whole body FAP expression, To compare whole body FAPI uptake in patients with persistent PASC vs patients recovered from PASC. Whole body FAPI uptake is measured in the muscle via automated segmentation. Mean muscle uptake values are calculated., Day 1|Pulmonary FAP expression vs clinical endpoints, To compare pulmonary FAPI uptake (expressed as the mean of the whole lung) to clinical endpoints (e.g. lung function, 6-minute walking test (6-MWT) and self-reported daily impairments assessed by several questionnaires)., Day 1|Whole body FAP expression vs clinical endpoints, To compare whole body FAPI uptake (expressed as the mean of the whole lung) to clinical endpoints (e.g. 6-minute walking test (6-MWT) and self-reported daily impairments assessed by several questionnaires)., Day 1|Serum biomarkers, To explorer serum biomarkers (e.g. soluble FAP and cytokines/growthfactors) and cellular phenotypes of inlammation and remodelling in relation to FAPI uptake (expressed as TBRmean of the whole lung)., Day 1","HRCT vs pulmonary FAP expression, Visual assessment of HRCT abnormalities matching pulmonary FAPI uptake., Day 1|Muscle biopsies, Patients willing to give additional informed consent for a muscle biopsy will be evaluated for increased muscle FAPI uptake (SUVmax of \>4.5). In these patients an ultrasound guided muscle biopsy will be performed of a high uptake area (\>4.5 SUV) and a low uptake area (\<4 SUV). Tissue examination as well as single cell RNA analysis will be performed to explorer the relation between FAP expression and activated remoddeling programs., Day 1",University Medical Center Groningen,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),ALL,"ADULT, OLDER_ADULT",,60,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,19097|ZonMW|2024-511294-29-00,2025-05,2025-12,2025-12,2025-04-04,,2025-04-04,,
NCT04738760,Clinical Outcomes of High Dose Vitamin D Versus Standard Dose in COVID-19 Egyptian Patients,https://clinicaltrials.gov/study/NCT04738760,,COMPLETED,"Vitamin D is a secosteroid hormone which may have beneficial role in reducing COVID-19 adverse outcomes by first regulating the renin angiotensin system (RAS). Recent studies on animal in which acute respiratory distress syndrome (ARDS) was induced, showed that vitamin D lead to pulmonary permeability reduction by modulating RAS activity as well as the expression of the angiotensin-2 converting enzyme (ACE2). During COVID-19, downregulation of ACE2 leads to cytokine storm in the host, causing ARDS. In contrast, an experimental study conducted on mice in which ARDS was induced chemically, revealed that vitamin D admiration contributed to mRNA and ACE2 proteins levels improvement, ADRS milder symptoms as well as less lung damage.Additionally, vitamin D had shown antiviral effects on several previous studies, that though to be exerted either by antimicrobial peptides induction which subsequently had direct antiviral action or through immunomodulatory and anti-inflammatory effects.In addition, vitamin D stabilizes physical barriers which prevent viruses from reaching tissues susceptible to infection. Finally, previous studies demonstrated that hypovitaminosis D is accompanied by various comorbidities including diabetes mellitus, hypertension, chronic cardiovascular and respiratory diseases, and cancers, all medical conditions that are considered risk factors of COVID-19 infection deterioration and even high mortality rate.The objective of this study is to evaluate whether supplementation with high-dose vitamin D improves the prognosis of patients diagnosed with COVID-19 compared to a standard dose of vitamin D.",NO,Covid19|Corona Virus Infection|Cytokine Storm|Vitamin D Deficiency,,"Duration of hospitalization, Length of hospital stay, Two weeks|In-hospital mortality, Death during hospitalization, Two weeks|Clinical status improvement using six category ordinal scale, Change in six category ordinal scale. The categories were defined as follows: 1) patient discharged, 2) hospitalization not requiring supplemental oxygen, 3) hospitalization requiring supplemental low-flow oxygen, 4) hospitalization requiring high-flow supplemental oxygen, 5) hospitalization requiring invasive mechanical ventilation, 6) death., Two weeks|Change in gas exchange, Difference between ratio of partial pressure of arterial oxygen (PaO2) to the fraction of inspired oxygen (FiO2) at baseline, and before discharge, Two weeks|Time to increase in oxygenation, Time to increase in SpO2/FiO2 of 50 or greater compared to the baseline SpO2/FiO2), 48 hours","Change in Lactate dehydrogenase (LDH) levels, Change in levels of Lactate dehydrogenase (LDH) between baseline and before discharge, Two weeks|Change in C-reactive protein (CRP) levels, Change in levels of C-reactive protein (CRP) between baseline and before discharge, Two weeks|Change in serum ferritin levels, Change in levels of serum ferritin between baseline and before discharge, Two weeks|Occurrence of secondary infection, Occurrence of sepsis, Two weeks|Occurrence of at least one severe adverse event, Any serious or severe adverse event that might happens during hospital stay, Two weeks|Need for mechanical ventilator or intensive care unit (ICU) support, Admission to ICU or usage of mechanical ventilator, Two weeks",,Ain Shams University,Misr International University,ALL,"ADULT, OLDER_ADULT",,116,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,COVID-VIT-D,2020-12-01,2021-06-01,2021-08-01,2021-02-04,,2022-07-20,"Teachers Hospital, Cairo, Please Select, 11314, Egypt",
NCT04909476,Tracheal Intubation in COVID-19 Patients,https://clinicaltrials.gov/study/NCT04909476,,UNKNOWN,"The Emergency Endotracheal intubation of a patient who is COVID-19 positive is a high-risk procedure and an additional challenge to an intensivist due to barrier enclosures that have been developed to reduce the risk of COVID-19 transmission to healthcare providers during intubation. Although the incidence of difficult airways is commonly higher in critically ill patients, the evidence of severe hypoxemia without sign of respiratory distress could complicate the scenario.This silent hypoxia often leads to a delayed recognition of the severity of respiratory failure and to a late intubation which is often characterized by a high risk of complications related to the actual airways' management, hemodynamic and cardiac. It has been shown that non-survivors had worse blood gas analyzes than survivors, both before and after intubation. Few studies have reported the implications and adverse events of performing endotracheal intubation for critically ill COVID-19 patients admitted to intensive care units (ICUs).",NO,COVID-19 Pneumonia|Tracheal Intubation,PROCEDURE: Endotracheal intubation,"Major adverse peri-intubation events, The incidence of major adverse peri-intubation events defined as least one events:* cardiovascular instability* severe Hypoxemia* cardiac arrest, intubation procedure, an expected average 30 minutes","Number of minor complications in the intubation process in patients admitted in the intensive care, This study will analyze the prevalence of minor complications related to intubation technique in the the Critical Unit. This information will be useful in order to determinate the risk factors associated., 28 days|Correlation between videolaryngoscope use and incidence of complication compared to the conventional laryngoscopy, Although the video laryngoscope is useful to perform difficult airways management, the benefits associated to its employment is still controversial compared to the conventional laringoscope., 28 days",,St. Bortolo Hospital,Fondazione IRCCS Policlinico San Matteo di Pavia,ALL,"ADULT, OLDER_ADULT",,143,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,125/20,2020-11-17,2021-05-20,2021-06-10,2021-06-01,,2021-06-04,"San Matteo Hospital, Pavia, Lombardia, 27100, Italy|San Bortolo Hospital, Vicenza, Veneto, 36100, Italy",
NCT06850376,COVID Feel Good-An Easy Self-Help Virtual Reality Protocol to Overcome the Psychological Burden of Coronavirus,https://clinicaltrials.gov/study/NCT06850376,,COMPLETED,"This pragmatic trial aims to evaluate whether a weekly self-help virtual reality protocol can help overcome the psychological burden of the COVID-19 pandemic. The protocol is based on 'The Secret Garden' 360° VR video available online (www.covidfeelgood.com) which simulates a natural environment to promote relaxation and self-reflection. The VR experience is combined with daily cognitive and social exercises designed to facilitate critical examination of personal identity, relationships, and coping strategies. The study assesses whether this intervention can reduce anxiety, depression, perceived stress, and hopelessness while improving well-being and social connectedness during pandemic-related restrictions.",NO,COVID-19 Pandemic Psychological Impact|Stress|Anxiety Disorders|Depression|Social Isolation,BEHAVIORAL: COVID Feel Good VR Self-Help Protocol|OTHER: Waiting Period,"Change in depression, anxiety, and stress levels as measured by Depression Anxiety Stress Scale (DASS-21), The Depression Anxiety Stress Scale (DASS-21) is a self-report questionnaire consisting of 21 items divided into three subscales that measure depression, anxiety, and perceived stress. Each subscale can be computed individually or added together into a score for general distress. Higher scores indicate greater symptoms of depression, anxiety, and stress. The scale will be used to assess changes in psychological distress associated with the COVID-19 pandemic before and after the VR self-help intervention., Baseline (Day -7 and Day 0), Post-intervention (Day 7), and 2-week Follow-up (Day 21)|Perceived Stress Scale (PSS-10), A scale measuring subjective perception of stress during the past week, Baseline (Day -7 and Day 0), Post-intervention (Day 7), and Follow-up (Day 21)|Change in hopelessness levels, A scale measuring pessimistic attitudes toward the future, Baseline (Day -7 and Day 0), Post-intervention (Day 7), and Follow-up (Day 21)","Change in social connectedness, A scale measuring sense of connection to others and to the social context, Baseline (Day -7 and Day 0), Post-intervention (Day 7), and 2-week Follow-up (Day 21)|Change in fear of coronavirus, A scale measuring level of fear related to the COVID-19 pandemic, Baseline (Day -7 and Day 0), Post-intervention (Day 7), and Follow-up (Day 21)|Change in relaxation levels during intervention, A scale measuring relaxation and perceived stress during the intervention, Daily during intervention (Days 1-7)|Change in subjective distress during intervention, A scale measuring level of perceived distress, Daily during intervention (Days 1-7)",,Istituto Auxologico Italiano,Clemson University (Virtual Reality and Nature Lab)|University of Barcelona|University of Tsukuba|Konkuk University|University of Bergen|University of Liege|Catholic University of the Sacred Heart,ALL,"ADULT, OLDER_ADULT",NA,36,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,39C001,2020-04-01,2021-10-01,2021-12-31,2025-02-27,,2025-02-27,"IRCCS Istituto Auxologico Italiano, Milano, Lombardia, 20145, Italy",
NCT04334629,LIBERATE Trial in COVID-19,https://clinicaltrials.gov/study/NCT04334629,LIBERATE,WITHDRAWN,The study aims to evaluate the reduction in severity and progression of lung injury with three doses of lipid ibuprofen in patients with SARS-CoV-2 infections.,NO,Coronavirus|Respiratory Distress Syndrome|SARS-CoV Infection,DRUG: Ibuprofen,"Disease progression, Worsening respiratory failure; defined using severity of hypoxaemia using \[PaO2/FiO2 ratio OR SpO2/FiO2 ratio\], 14 days|Time to mechanical ventilation, Time to mechanical ventilation (or need of), 14 days","Overall survival, 28 days|Reduction in proportion of patients who require ventilation, 28 days|Reduction in length of Critical Care stay, 28 days|Reduction in length of Hospital stay, 28 days|Modulation of serum pro- and anti-inflammatory cytokines, 28 days|Reduction in duration of ventilation, 28 days|Increase in ventilator-free days, 28 days",,King's College London,,ALL,"ADULT, OLDER_ADULT",PHASE4,0,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",282009,2020-05-26,2021-05-25,2021-09-25,2020-04-06,,2023-07-25,"Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom",
