NCT Number,Study Title,Conditions
NCT04876573,Pilot Study for Cyproheptadine in Hospitalized Patient for COVID-19,Viral Pneumonia|COVID-19 Pneumonia|Serotonin Syndrome|Platelet Dysfunction
NCT05118373,Generic Behavioural Change Campaign for COVID-19 Prevention,Evaluation Study
NCT05612373,Message Offering Free Round Trip Ride-Share Ride to Pharmacy,COVID-19
NCT05396573,A Phase 1b Trial to Evaluate the Safety and Immunogenicity of a SARS-CoV-2 mRNA Chimera Vaccine Against COVID-19,COVID-19
NCT04482673,Vitamin D Supplementation in the Prevention and Mitigation of COVID-19 Infection,COVID-19|Vitamin D Deficiency|Respiratory Viral Infection
NCT04409873,Antiseptic Mouthwash / Pre-Procedural Rinse on SARS-CoV-2 Load (COVID-19),COVID-19|SARS-CoV 2|Severe Acute Respiratory Syndrome Coronavirus 2|Virus Disease|Coronavirus Infections|Pharyngeal Diseases
NCT04510467,Mental Health Consequences of COVID19 Infection in the French RMD Cohort,Covid19|Systemic Autoimmune Disease|Inflammatory Rheumatism|Auto Inflammatory Diseases
NCT04375644,Impact of the COVID-19 Pandemic on the Quality of Psychological Life (COVID-PRO-IMPACT),"Covid 19|Stress, Psychological"
NCT04799444,LATE-COVID/LATE-COVID-Kids - Observational Study in Children and Adults,Covid19
NCT04914767,Nigella 5 in the Treatment of SARS COV2 (COVID-19),SARS-CoV2 Infection
NCT04470544,Camostat Mesilate Treating Patients With Hospitalized Patients With COVID-19,Severe Acute Respiratory Syndrome
NCT04643444,Police COVID-19 Serosurvey,SARS-CoV-2 Infection|Volunteers|Healthy
NCT04871867,Cardiac and Lung Assessment of Professional Soccer Players Following COVID-19 Disease,Covid19
NCT05182567,GLS-5310 Vaccine in Healthy Volunteers as a Booster for SARS-CoV-2 (COVID-19),COVID-19|Healthy
NCT05216601,"A Study to Evaluate the Safety, Tolerability, and Immunogenicity of MVC-COV1901 or MVC-COV1901(Beta) Against COVID-19",COVID-19 Vaccine
NCT04743401,Feasibility of a Tele-game-based Exercise (Tele-exergame) Program to Prevent Deconditioning in Hospitalized COVID-19 Patients,COVID 19|Rehabilitation|Inpatient|Hospitalized
NCT04353401,WGS Analysis of COVID-19 Positive Patients,Coronavirus Infection|COVID-19
NCT05875701,Phase 3 Study of Novavax Vaccine(s) as Booster Dose After mRNA Vaccines,COVID-19
NCT05254301,Nutrition and LOComotoric Rehabilitation in Long COVID-19,COVID-19
NCT04427501,A Study of LY3819253 (LY-CoV555) and LY3832479 (LY-CoV016) in Participants With Mild to Moderate COVID-19 Illness,COVID-19
NCT06142201,A Real-World Study of JT001 for COVID-19,COVID-19
NCT05226767,Effect of Daily Oral Administration of Food Supplement NLC-V in Patients Diagnosed With COVID-19,COVID-19
NCT04379076,InterLeukin-7 (CYT107) to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection UK Cohort,COVID-19|Lymphocytopenia
NCT04992260,"Efficacy, Immunogenicity and Safety of COVID-19 Vaccine , Inactivated in Children and Adolescents",COVID-19
NCT05303376,Phase 1&2 Study to Evaluate the Safety & Efficacy of Inhaled IBIO123 in Severe COVID-19 Illness,COVID-19
NCT04449276,"A Study to Evaluate the Safety, Reactogenicity and Immunogenicity of Vaccine CVnCoV in Healthy Adults for COVID-19",Severe Acute Respiratory Syndrome|Coronavirus|SARS-CoV-2|COVID-19
NCT06823076,Impact of the COVID-19 Pandemic on Central Precocious Puberty: a Retrospective Cohort Study from Turkey,COVID19- Infection with SARS-CoV-2 Virus
NCT04567576,Predictive Factors for COVID-19 in Rheumatology,Rheumatic Diseases|Covid19
NCT05383560,Safety and Immunogenicity of Omicron Variant-Matched Vaccine Booster in Adults,COVID-19 Pandemic|Immunogenicity|SARS CoV 2 Infection|COVID-19
NCT04433260,COVID19 and Physical and Emotional Wellbeing of HCP,Mental Health
NCT04663776,Wide Scale Monitoring for Acute Respiratory Infection Using a Mobile-Based Study Platform,Covid19|Influenza|Respiratory Tract Infections|Acute Respiratory Tract Infection|Acute Respiratory Distress Syndrome
NCT04546776,COVID-19 Persistence in Stool,SARS-CoV Infection
NCT04378244,CORONA: A Study Using DeltaRex-G Gene Therapy for Symptomatic COVID-19,COVID-19|Cytokine Storm|Acute Respiratory Distress Syndrome
NCT05566392,Longterm Influence of Pediatric Long COVID Syndrome,COVID-19-Associated Encephalitis|Long COVID
NCT06672692,"A Multi-Site Clinical Evaluation of the LIAISON NES FLU A/B, RSV & COVID-19 Assay in Symptomatic Patients",Influenza a|Influenza B|RSV|COVID 19
NCT04954092,Study of Gam-COVID-Vac in Adolescents,Covid19|Vaccine Preventable Disease
NCT05749692,The Impact of COVID-19 Infection on the Symptoms of Functional Dyspepsia,Dyspepsia
NCT04701944,Clinical Study of Pregnant Women With COVID-19,Covid-19
NCT04410692,Can the Prediction Market Improve Predictions of COVID-19?,"Health Knowledge, Attitudes, Practice"
NCT04369794,"COVID-19: BCG As Therapeutic Vaccine, Transmission Limitation, and Immunoglobulin Enhancement",COVID-19|Therapeutic Vaccine|BCG|SARS-CoV 2|Transmission
NCT05470894,Liver Injury After COVID-19 Vaccination,Subjects After COVID-19 Vaccination
NCT05087394,COVID19 Hospitilized in Clinica Pasteur of Neuquen (Argentina),COVID-19
NCT04662060,COVID-19 Outpatient Pragmatic Platform Study (COPPS) - Acebilustat Sub-Protocol,Covid19
NCT04790994,COVID-19 Prevalence in UNIVI Geriatric Institutions: Epidemiological Study of Immunological Status With Rapid Serological Tests,COVID-19
NCT04363060,Azithromycin+Amoxicillin/Clavulanate vs Amoxicillin/Clavulanate in COVID19 Patients With Pneumonia in Non-intensive Unit,COVID-19 Pneumonia
NCT04347694,Study to Determine the Immunization Status Among Nephrological Health Care Personnel Against SARS-CoV-2 in a Single Center Over the Course of 12 Months During the Worldwide COVID-19 Pandemic.,SARS-CoV 2|Immunization; Infection
NCT04993560,Safety and Efficacy of COVID-19 Prime-boost Vaccine in Bahrain,SARS-CoV 2 Infection|Covid19
NCT04910360,Embolism in COVID-19 Positive Patients,COVID-19 Pneumonia|Embolism|Genetic Predisposition
NCT04533360,Prevalence of COVID-19 Antibodies Kingman AZ,Covid19
NCT05258760,Covid 19 Vaccine Acceptance in Egyptian Pregnant Women,COVID-19
NCT06636760,Efficacy and Immunomodulator Impact of Herbal Combination on COVID-19 Patients Recovery,COVID 19
NCT04445194,Phase I Clinical Study of Recombinant Novel Coronavirus Vaccine,Coronavirus
NCT05975060,A Study to Evaluate the Safety and Immunogenicity of an (Omicron Subvariant) COVID-19 Vaccine Booster Dose in Previously Vaccinated Participants and Unvaccinated Participants.,COVID-19
NCT06744660,Clinical Validation of the Aptitude Medical Systems Metrix COVID-19 Test,COVID-19|COVID
NCT05620160,Study of RAY1216 Tablets Compared With Placebo in Patients With Mild to Moderate COVID-19,Mild to Moderate COVID-19
NCT04545060,VIR-7831 for the Early Treatment of COVID-19 in Outpatients,Covid19
NCT04425460,"A Multi-center,Randomized,Double-blind,Placebo-controlled,Phase 3 Study Evaluating Favipiravir in Treatment of COVID19",COVID-19
NCT04944394,Psychological and Ethical Support for Hospital Professionals During the COVID-19 Pandemic: Suitability and Post-crisis Implications for the Experience of All Professionals,Psychological Stress
NCT04542694,Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,COVID-19
NCT05518760,COVID-19 Effectiveness Study in the Philippines,COVID-19|Vaccine Effectiveness Against COVID-19|Hospitalized COVID-19
NCT06050460,SA55 Injection: a Potential Therapy for the Prevention and Treatment of COVID-19,COVID-19
NCT04924894,Determinants of Obtaining Covid Vaccination Among Health Care Workers,COVID-19 Vaccination
NCT04893694,the Prevalence of Oral Manifestation in Patients With SARS-CoV2 Infection,SARS-CoV2 Infection
NCT05587894,OPtimisation of Antiviral Therapy in Immunocompromised COVID-19 Patients: a Randomized Factorial Controlled Strategy Trial,COVID-19|Immunodeficiency
NCT05110560,Effects of the Programme Developed for Sedentary Elderly in the COVID-19 Pandemic: Mobile Interventional Study,Aged
NCT04334460,Safety and Antiviral Activity of BLD-2660 in COVID-19 Hospitalized Subjects,Sars-CoV-2|Covid19
NCT04980560,Gut Microbiota Profile and Its Impact on Immunity Status in COVID-19 Vaccinated Cohorts,COVID-19 Vaccination|Gut Microbiota
NCT04827160,Prediction of Thrombosis Using D-dimer Trends in COVID-19,Covid19
NCT04977960,Efficacy of Canrenone as add-on Treatment in Moderate to Severe ARDS in COVID-19,COVID-19 Acute Respiratory Distress Syndrome
NCT05033860,The Influence of Education During Waiting Time of Vaccination on the Knowledge Towards COVID-19 Among Chinese Residents,"Covid19|Knowledge, Attitudes, Practice"
NCT04789460,Relationship Between Potential Predictors and Mortality in COVID-19 Patients ın Turkey,Covid19
NCT04389294,HSS Covid-19 Antibody Serology Among Surgeons & Anesthesiologists,COVID
NCT04356560,COVID-19 Surveillance of Patients and Healthcare Workers in a Hospital Department,COVID-19
NCT04464460,"A Study to Evaluate the Safety, Pharmacokinetics (PK), and Efficacy of TAK-671 for the Treatment of Coronavirus Disease (COVID) 2019 in Adults",Coronavirus Disease
NCT05950776,COVID-19 Trial of the Candidate Vaccine MVA-SARS-2-S in Adults,Covid19
NCT04380376,Low-doses Melphalan Inhalation in Patients With COVID-19 (CoronavIrus Disease 2019) Pneumonia,COVID-19|Viral Pneumonia
NCT04449627,Psychological Impact of Admission With Covid-19 During the SARS-CoV-2 Pandemic: Naturalistic Cohort Study With a Digital Intervention,Anxiety Disorders|Post Traumatic Stress Disorder|Depressive Disorder|Covid19
NCT06156176,Pursuing Reduction in Fatigue After COVID-19 Via Exercise and Rehabilitation (PREFACER): a Randomized Feasibility Trial,Long-COVID|Long COVID-19|Post-COVID-19 Syndrome|Post-COVID Syndrome|Fatigue|Post COVID-19 Condition|Post-COVID Condition
NCT04452773,Clinical Trial to Evaluate the Efficacy of Food Supplement Manremyc® Against SARS- COV-2 Infection (COVID-19) in Healthcare Workers,COVID19
NCT04343976,Pegylated Interferon Lambda Treatment for COVID-19,COVID-19|COVID
NCT05054127,Clinical Characteristics And Outcome Of COVID-19 Infection In Patients With Chronic Respiratory Diseases.,Covid19|Chronic Respiratory Disease
NCT05614427,The LAVA (Lateral Flow Antigen Validation and Applicability) 2 Study for COVID-19,SARS-CoV-2 Infection
NCT04884776,Modulation of Gut Microbiota to Enhance Health and Immunity,Gut Microbiota|COVID-19 Vaccine
NCT04345276,Efficacy and Safety of Ganovo (Danoprevir) Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,COVID-19
NCT04952727,Study on Sequential Immunization of Inactivated COVID-19 Vaccine and Recombinant COVID-19 Vaccine (Ad5 Vector) in Elderly Adults,COVID-19
NCT04392427,New Antiviral Drugs for Treatment of COVID-19,COVID|Drug Effect
NCT04357327,Rapid Salivary Test to Detect SARS-CoV-2 (COVID-19),COVID-19|SARS-CoV 2|Corona Virus Infection
NCT05689827,Safety and Efficacy of the Therapy With BRAINMAX® for the Treatment of Patients With Asthenia After COVID-19,Asthenia|COVID-19
NCT05055427,Efficacy Evaluation of Shen Cao Gan Jiang Tang on Mild and Moderate COVID-19 Patients,COVID-19 Respiratory Infection|Herbal Medicine
NCT05766176,Study of the Effectiveness of The COVID-19 Vaccine,COVID-19
NCT04751227,Modafinil for Wakefulness in the Critical Care Units,Critical Illness|COVID-19|Cognitive Dysfunction
NCT04313127,Phase I Clinical Trial of a COVID-19 Vaccine in 18-60 Healthy Adults,COVID-19
NCT05076227,Effect of Different SARS-CoV-2 Vaccine Schedules and Vaccination Intervals on Reactogenicity and Humoral Immunogenicity,SARS-CoV2 Infection|Immunisation Reaction|Antibody Hypersensitivity|Tolerance
NCT04544176,COVID-19 Risk From Attending Outpatient Radiology Appointments,Covid19
NCT04918927,Favipiravir +/- Nitazoxanide: Early Antivirals Combination Therapy in COVID-19,Covid19
NCT05216627,COVID-19 Screening Program,COVID-19
NCT04568876,Micronized and Ultramicronized Palmitoylethanolamide in COVID-19 Patients,Covid19
NCT05465876,Passive Antibodies Against COVID-19 With EVUSHELD in Vaccine Non-responsive CLL,Chronic Lymphocytic Leukemia|COVID-19
NCT04986176,HC-1119 Adjuvant Treatment for Hospitalized COVID-19 Patients,COVID-19 Respiratory Infection
NCT05142527,Study to Evaluate the Safety and Efficacy of a Monoclonal Antibody Cocktail for the Prevention of COVID-19,COVID-19
NCT04567927,Prevalence and Risk Factors for Venous Thromboembolic Events in Critically Ill Patients With COVID-19,SARS Virus
NCT05040776,COVID-19 ThromboprophylaXIs Study of Novel FXIa Inhibitor Frunexian (EP-7041) in ICU Patients,Thrombopenia|Covid19
NCT04871776,Use of Construal Level Theory to Inform Messaging to Increase Vaccination Against COVID-19,Covid19|Vaccine Refusal
NCT05155527,Ivermectin With Favipiravir in Mild-to-moderate COVID-19 Patients,COVID-19
NCT04616976,COVID-19 With Convalescent Plasma,COVID-19 Convalescent Plasma Treatment
NCT04854876,"Pilot Study to Evaluate the Safety, Tolerability, and Efficacy of 5-ALA-Phosphate + SFC as an Immune System Enhancer Along With Vaccination Against COVID-19",SARS-COV 2|Covid19
NCT05074927,Pulmonary Function in Patients Recovering From COVID19 Infection : a Pilot Study,COVID-19
NCT05226429,UNAIR Inactivated COVID-19 Vaccine,COVID-19 Pandemic|Vaccine Reaction
NCT05385029,Fetal and Neonatal Thyroid in Pregnancies With Severe Acute Respiratory Syndrome Coronavirus 2 ( SARS- COV2 ) COVID-19,Thyroid Dysfunction|Hypothyroidism|Hyperthyroidism
NCT05430594,This Study Investigate the Impact of Maternal COVID-19 Infection During Birth on the Childrens' Physical and Mental Development.,COVID-19
NCT05074394,Randomized Study to Evaluate Intranasal Dose of STI-2099 (COVI-DROPS™) in Outpatient Adults With Mild COVID-19 Infection,COVID-19
NCT04627194,Characteristics of COVID-19 Patients in Kazakhstan in Early 2020,"Covid19|Pneumonia, Viral"
NCT04906694,Study to Evaluate a Single Intranasal Dose of STI-2099 (COVI-DROPS™) in Outpatient Adults With COVID-19 (US),Covid19
NCT04754594,"To Evaluate the Safety, Tolerability, and Immunogenicity of BNT162b2 Against COVID-19 in Healthy Pregnant Women 18 Years of Age and Older",SARS-CoV-2 Infection|COVID-19|Maternal Immunization
NCT04429594,Study of the Incidence of SARS-CoV-2 Infection (COVID-19),Coronavirus Infections
NCT05234294,Long Covid After COVID-19 Infection With Omicron Variant,COVID-19
NCT06175494,"A Phase 3 Clinical Study to Evaluate the Efficacy, Safety and Immunogenicity of Booster Vaccination With Recombinant COVID-19 (XBB) Trimer Protein Vaccine (Sf9 Cell)",COVID-19
NCT04844294,A Randomized Clinical Trial Testing the Effectiveness of Telemental Health for Suicidal Patients,Suicide|Suicidal Ideation|Suicide Attempt
NCT04532294,"Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2/COVID-19) Neutralizing Antibody in Healthy Participants",Covid19
NCT04907994,Containment Impact on Primary Care & Adverse Events Unrelated to COVID-19 in Older Patients and/or With Chronic Diseases,Covid19
NCT04590794,SuPAR in Adult Patients With Covid-19,Covid19
NCT04859894,"Physiological Studies in Post-COVID-19 Syndrome, and the Association With DNA Methylation",Covid19|Cardiopulmonary Disease|Dyspnea|Lung Function Decreased|Epigenetic Disorder
NCT05121662,COVID-19 Vaccine Biomarker Study in Multiple Sclerosis,Multiple Sclerosis|COVID-19
NCT04573062,Natural History of Post-Coronavirus Disease 19 Convalescence at the National Institutes of Health,Post-Coronavirus Disease 19
NCT04395391,Home Usability Study of the SARS-CoV-2 (COVID-19) Test,COVID-19
NCT04647994,Exploratory Study: COVID-19 and Pregnancy,Pregnant Women|Covid19
NCT05092594,Prognostic Value of IgM in Covid-19 Infection,COVID-19
NCT04520191,Home-based Kidney Care in Native Americans of New Mexico (HBKC) - Enhancement: COVID-19 Study,CKD
NCT04720794,A Study To Evaluate The Performance of the Lucira Health All-In-One COVID-19 Test Kit vs Hologic Panther Fusion,Covid19|SARS (Severe Acute Respiratory Syndrome)|Corona Virus Infection
NCT06374394,A Study on the Immune Response and Safety of a Vaccine Against Respiratory Syncytial Virus (RSV) When Given Alone and Together With a COVID-19 mRNA Vaccine in Adults Aged 50 Years and Above,Respiratory Syncytial Virus Infections
NCT04959760,BinaxNow COVID-19 IgG Rapid Test Device and Antibody Self Test,COVID-19 Respiratory Infection
NCT04706260,Clinical Evolution and Becoming of Adult Patients Infected With Covid-19 Hospitalized at Strasbourg University Hospitals,Covid-19
NCT05513560,RECLAIM: Recovering From COVID-19 Lingering Symptoms Adaptive Integrative Medicine,Long COVID|Post COVID Condition|Post Acute Sequelae of COVID-19
NCT05128760,Impact of Antiphospholipid Antibodies on Thrombin Generation During Sars-CoV2 Infection (TACIT2 Study),Antiphospholipid Syndrome|COVID-19
NCT05682560,Human Umbilical Cord Blood (RegeneCyte) Infusion in Patients with Post-COVID Syndrome,Long COVID|Post-COVID Syndrome|Post COVID-19 Condition
NCT05729360,Study of Monoclonal Antibodies for Early Etiotropic Therapy for Coronavirus Infection Caused by the SARS-CoV-2 Virus,COVID-19
NCT04376476,Host-pathogen Interactions During SARS-CoV-2 Infection,"Infection, Coronavirus|Severe Acute Respiratory Syndrome Coronavirus 2"
NCT04836260,Preemptive Use of Convalescent Plasma for High-risk Patients With COVID-19,Covid19|Immuno-Deficiency|Old Age; Debility
NCT04828460,Monitoring of COVID-19 Vaccine Response in Organ Transplant Patients,Covid19|Kidney Transplantation
NCT06033560,The Effect of Non-invasive Respiratory Support on Outcome and Its Risks in Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-COV-2)-Related Hypoxemic Respiratory Failure,COVID-19|Hypoxemic Respiratory Failure
NCT04483960,Australasian COVID-19 Trial (ASCOT) ADAptive Platform Trial,SARS-CoV-2 Infection (COVID-19)
NCT05498727,"Evaluation of the Integration of Ag-RDTs for COVID-19 in MNCH, HIV and TB Services in Cameroon and Kenya",COVID-19
NCT04422873,The Impact of COVID-19 on Dialysis Users,End Stage Renal Disease|Sars-CoV2
NCT04950673,"Open-label, Post-marketing, Prospective Study to Assess Impact of COVID-19 on Cognitive Function in Patients",Cognitive Decline|Cognitive Dysfunction|Brain Health|Post CoV-2 Syndrome|COVID Long-Haul
NCT05274373,"Clinical, Virological, Serological and Immunological Characteristics During and Following COVID-19 Hospitalization",COVID-19 Pneumonia|COVID-19
NCT04758273,A Safety and Immunogenicity Study of Inactivated SARS-CoV-2 Vaccine (Vero Cells) in Healthy Population Aged 18 Years and Above(COVID-19),COVID-19
NCT04591873,Using Telemedicine to Optimize Teamwork and Infection Control of Critical and Highly-infectious Patients in an Emergency Department,"Critical Illness|Infections, Respiratory|Emergency Service, Hospital|Telemedicine"
NCT06052527,"Covid-19, Post-Acute Sequelae of SARS-CoV-2 Infection (PASC) and Influenza Treatment System With Machine Learning",COVID-19|Post-COVID-19 Syndrome|Influenza
NCT04798027,Study of mRNA Vaccine Formulation Against COVID-19 in Healthy Adults 18 Years of Age and Older,COVID-19
NCT04388527,COVID-19 Convalescent Plasma for Mechanically Ventilated Population,Covid-19
NCT04762173,Self-Help for Stress Related to COVID-19,Stress
NCT04815031,Drug Use Investigation of COMIRNATY Intramuscular Injection,COVID-19
NCT04444531,Ozone Therapy and Coronavirus Disease of 2019 (COVID-19) Pneumonia,COVID-19 Pneumonia
NCT04813731,COVID-19 and Lingering Symptoms in Primary Care Patients,Covid19|Symptoms and Signs
NCT05749731,Pan-European Study on Geriatric Rehabilitation After COVID-19 Disease,COVID-19
NCT04412031,Prediction of Unfavourable Outcome in Newly Covid-19 Hospitalized Patient,to Predict an Unfavorable Evolution of Covid-19 at the Hospital Admission of Patients
NCT04922931,Post-COVID 19 Patients Undergoing Surgery,Covid19
NCT04418531,Convalescent Antibodies Infusion in COVID 19 Patients,"Pneumonia, Viral|Corona Virus Infection"
NCT04367831,Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19,COVID-19|Venous Thromboses|Arterial Thrombosis
NCT04523831,Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection,Covid19
NCT05212831,Portable Oxygen Concentrator (POC) Versus Standard of Care in Long-COVID: Randomized Crossover Exploratory Pilot Study.,COVID-19
NCT05366231,Kesuting Syrup in the Treatment of Corona Virus Disease 2019 (COVID-19),COVID-19 Pneumonia|Cough
NCT04414631,Conestat Alfa in the Prevention of Severe SARS-CoV-2 Infection in Hospitalized Patients With COVID-19,Coronavirus Infections
NCT04738331,Analysing the French COVID-19 Epidemic Using a National SARS-CoV-2 RT-PCR Database,Covid-19|SARS-CoV Infection
NCT04542031,COVID-19 in a Single Large UK Rheumatology Centre and Impact on QOL,Covid19|Rheumatic Diseases
NCT04532931,COVID-19 Treatment in South Africa,COVID-19
NCT04646031,Expanded Access to T89 for Treatment Use in Intermediate-size Patients Population With COVID-19,Covid19
NCT05323331,Circuit Training Program in Post COVID-19 Patients,COVID-19
NCT04705831,Study to Evaluate the Benefit of RUCONEST in Improving Neurological Symptoms in Post COVID-19 Infection,Post-Viral Fatigue Syndrome|Post-Viral Disorder (Disorder)|Covid19
NCT04467931,ACEI or ARB and COVID-19 Severity and Mortality in US Veterans,Hypertension|COVID
